"subject","subject_id","paper_code","phase","question_number","display_order","source_question_ref","topic","microtopic","microtopic_slug","question_id","stem_excerpt"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","172","12","ARD-2022-Q172","Agricultural Economics, Credit and Marketing","e-NAM and agricultural marketing platforms","ard-e-nam-and-agricultural-marketing-platforms-3c1c5ff6","749330fa-b940-4ba3-9cd4-4634cc29caab","Q.172) __________ is a pan -India electronic trading portal which networks the existing APMC mandis to create a unified "
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","173","13","ARD-2022-Q173","Rural Development, Schemes and Institutions","Rural demography and census","ard-rural-demography-and-census-5176c982","510cbf36-ba3d-4d34-a166-25403eefe430","Q.173) According to the census of India 2011, What is the Percentage of Rural Population of India"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","174","14","ARD-2022-Q174","Agricultural Economics, Credit and Marketing","Agriculture's contribution to gross value added","ard-agriculture-s-contribution-to-gross-value-added-22099611","2d9e5c55-9145-4f03-99b2-e8748bfa6794","Q.174) Contribution of agriculture and allied sector in Gross Value Added (GVA) for the 2021-22__________."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","175","15","ARD-2022-Q175","Agricultural Economics, Credit and Marketing","Farm management and cost accounting","ard-farm-management-and-cost-accounting-315421ce","93866b0d-0355-4f21-ab1b-aee7db615d2b","Q.175) In tractor economy, which of the following will be considered as fixed cost?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","176","16","ARD-2022-Q176","Soil Science, Water and Agro-meteorology","Manures, fertilizers and biofertilizers","ard-manures-fertilizers-and-biofertilizers-baa7d9d5","38dc4c90-4d08-471e-b5ce-74bf04c3983e","Q.176) Substances that contain microorganisms, which when added to the soil increase its fertility and promotes plant gr"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","177","17","ARD-2022-Q177","Soil Science, Water and Agro-meteorology","Soil conservation and erosion control","ard-soil-conservation-and-erosion-control-b50e6128","73b6dd57-edf9-4534-9c0d-525ae2794f97","Q.177) What is the type of farming done along the contour of sloping land to avoid soil erosion with slope less than 33%"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","178","18","ARD-2022-Q178","Horticulture and Plantation Crops","Aromatic and medicinal plants","ard-aromatic-and-medicinal-plants-0b96b116","f199b132-73ab-4cb4-b12e-02e516918e0a","Q.178) Aromatic plant botanical name - export and produce in India for perfume and fragrance"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","179","19","ARD-2022-Q179","Soil Science, Water and Agro-meteorology","Soil physical properties and soil moisture","ard-soil-physical-properties-and-soil-moisture-6599130c","0c8be23a-6eb7-4813-8480-65688a401fce","Q.179) The water that held tightly on the surface of soil colloidal particle is known as …………….. It is essentially non-l"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","180","20","ARD-2022-Q180","Horticulture and Plantation Crops","Aromatic and medicinal plants","ard-aromatic-and-medicinal-plants-0b96b116","fc803fcb-cf78-4c22-bc5b-7d0273842621","Q.180) A wax like substance containing the natural flower perfume together with some plant waxes, albumin and colouring "
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","181","21","ARD-2022-Q181","Plant Protection and Crop Health","Crop diseases and their causal agents","ard-crop-diseases-and-their-causal-agents-b59ad874","a7313195-da95-4324-be2b-81c40060373a","Q.181) Damping Off of Papaya symptoms"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","182","22","ARD-2022-Q182","Horticulture and Plantation Crops","Plant propagation methods","ard-plant-propagation-methods-51e57982","3cd358e3-a7a4-439e-932b-a0f3e8277b03","Q.182) Coconut is propagated through?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","183","23","ARD-2022-Q183","Agronomy and Crop Production","Climate-smart and sustainable agriculture","ard-climate-smart-and-sustainable-agriculture-3132752a","224447a8-4a6a-4c57-8e2d-9d64d10f4a7e","Q.183) Climate smart agriculture does not include ______."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","184","24","ARD-2022-Q184","Agronomy and Crop Production","Climate-smart and sustainable agriculture","ard-climate-smart-and-sustainable-agriculture-3132752a","1da51ded-ca79-4bd0-aaa4-03f6bbf965a2","Q.184) Farming so as to meet society's present food and textile needs, without compromising the ability for current or f"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","185","25","ARD-2022-Q185","Soil Science, Water and Agro-meteorology","Plant nutrients, their functions and deficiency symptoms","ard-plant-nutrients-their-functions-and-deficiency-symptoms-55b74392","5b41a9cd-c95e-42e0-b0ec-966976045216","Q.185) The deficiency in plants can be visually identified at the early vegetative stage as an abnormally dark green or "
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","186","26","ARD-2022-Q186","Forestry and Agroforestry","Forest tree species and taxonomy","ard-forest-tree-species-and-taxonomy-4809d8c6","03c7957c-815c-453d-9b5c-162140b43e08","Q.186) Botanical Name of Teak is called?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","187","27","ARD-2022-Q187","Plant Protection and Crop Health","Crop diseases and their causal agents","ard-crop-diseases-and-their-causal-agents-b59ad874","b38410e2-bc79-4631-bf18-aea6ade0d163","Q.187) Whitish-gray powdery coating on the leaves or fruit. On leaves, initial symptoms appear as chlorotic spots on the"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","188","28","ARD-2022-Q188","Horticulture and Plantation Crops","Floriculture and flower export","ard-floriculture-and-flower-export-0064cb7d","0613a36a-4f07-45cc-934e-b33e72e3c24b","Q.188) Highest cut rose sold in which day of the year"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","189","29","ARD-2022-Q189","Agronomy and Crop Production","Crop physiology and productivity","ard-crop-physiology-and-productivity-ec35b2e2","18406b29-ae78-4f06-8613-0f2d7dbbb563","Q.189) Which organelle responsible for growth and development"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","190","30","ARD-2022-Q190","Animal Husbandry, Dairy and Poultry","Livestock terminology and management practices","ard-livestock-terminology-and-management-practices-8ac22bac","19c8fa6a-07e2-44fc-91d9-5d85d254c2c6","Q.190) Ram lamb is castrated at what age"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","191","31","ARD-2022-Q191","Fisheries and Aquaculture","Aquaculture systems and water quality","ard-aquaculture-systems-and-water-quality-8d07f0a7","addb388f-35de-4804-922b-0a5e19edcb04","Q.191) What should be the pH for the Fish-pond for fish culture?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","192","32","ARD-2022-Q192","Forestry and Agroforestry","Agroforestry systems","ard-agroforestry-systems-ef1aa2d0","4574b558-4285-4781-aa6d-32b5fdf1a4ea","Q.192) Agroforestry system in which long fodder crops are grown to protect the soil, mulching and to prevent erosion."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","193","33","ARD-2022-Q193","Plant Protection and Crop Health","Crop pests and their management","ard-crop-pests-and-their-management-206db1af","41b95452-90ca-485b-9801-4f4a47cba147","Q.193) Grape’s leaf feeding in initial stage and complete defoliation is caused by"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","194","34","ARD-2022-Q194","Forestry and Agroforestry","Forest management and community forestry","ard-forest-management-and-community-forestry-39e845dd","1280c1c4-dcd0-4b9b-8400-b1891c7d9f5a","Q.194) __________ involves the participation and collaboration of various stakeholders including community, government a"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","195","35","ARD-2022-Q195","Agricultural Economics, Credit and Marketing","Agriculture's contribution to gross value added","ard-agriculture-s-contribution-to-gross-value-added-22099611","0dec7b2b-c4da-4283-b16d-594bb7211e41","Q.195) What is the GVA share of agriculture sector according to the First Income estimates"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","196","36","ARD-2022-Q196","Soil Science, Water and Agro-meteorology","Watershed management","ard-watershed-management-f736bee0","ed5211f2-55ef-4e9a-9f92-a435641006dd","Q.196) Any surface area from which runoff resulting from rainfall is collected and drained through a common point."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","197","37","ARD-2022-Q197","Soil Science, Water and Agro-meteorology","Soil health management and testing","ard-soil-health-management-and-testing-a8f440e2","434b015e-99e7-45f8-b11c-49de5540da4c","Q.197) Scheme which is used to assess the current status of soil health and, when used over time, to determine changes i"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","198","38","ARD-2022-Q198","Agricultural Engineering, Mechanisation and Extension","Agricultural research and extension system","ard-agricultural-research-and-extension-system-ef3db2e9","706a3a71-bd03-40cd-8f63-14572305f9d7","Q.198) An integral part of the National Agricultural Research System (NARS), aims at assessment of location specific tec"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","199","39","ARD-2022-Q199","Rural Development, Schemes and Institutions","Farmer welfare schemes and grievance portals","ard-farmer-welfare-schemes-and-grievance-portals-987321f6","91a760df-8637-4c5a-97b9-583a73819053","Q.199) Scheme for the solution of all the problems of farmers"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2022-MORNING","1","200","40","ARD-2022-Q200","Fisheries and Aquaculture","Fish species, breeds and migration","ard-fish-species-breeds-and-migration-d80fedd9","e87c2ebf-7a44-4b8d-937d-e67d21b788f2","Q.200) Which one of the following is Indian Major Carps"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","1","1","ARD-2023-Q001","Horticulture and Plantation Crops","Scientific names of horticultural crops","ard-scientific-names-of-horticultural-crops-9e83e592","1fa6dcbf-f5e7-4b5b-9c46-72446dbde8d0","Q.1) What is the scientific name of Carnation?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","2","2","ARD-2023-Q002","Soil Science, Water and Agro-meteorology","Soil conservation and erosion control","ard-soil-conservation-and-erosion-control-b50e6128","5bc7d8ec-56bf-4a2c-b81b-864ba9e5be89","Q.2) What is the term for the stage of erosion when it becomes exhaustive, leading to the formation of finger-like proje"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","3","3","ARD-2023-Q003","Soil Science, Water and Agro-meteorology","Agro-meteorology, rainfall and instruments","ard-agro-meteorology-rainfall-and-instruments-1970b919","c513c955-3494-4ffd-b494-b159bb493a5c","Q.3) What is the period of southwest monsoon?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","4","4","ARD-2023-Q004","Agricultural Economics, Credit and Marketing","Minimum Support Price and procurement","ard-minimum-support-price-and-procurement-08bf1b90","612d7ea4-59bb-41df-976f-8ee57a46655e","Q.4) MSP is recommended by which of the following institutes?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","5","5","ARD-2023-Q005","Agricultural Engineering, Mechanisation and Extension","Post-harvest storage, grading and losses","ard-post-harvest-storage-grading-and-losses-cb1ee86d","0090c865-1338-4ee2-a5f1-773481ef40fe","Q.5) What is the optimum storage moisture percentage for food grains?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","6","6","ARD-2023-Q006","Soil Science, Water and Agro-meteorology","Soil physical properties and soil moisture","ard-soil-physical-properties-and-soil-moisture-6599130c","7abc3972-1ff2-4505-8a6e-9eac5fd156dd","Q.6) Which of the following soil types have the least particle density?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","7","7","ARD-2023-Q007","Soil Science, Water and Agro-meteorology","Manures, fertilizers and biofertilizers","ard-manures-fertilizers-and-biofertilizers-baa7d9d5","f02ae168-21ec-476f-bad6-6ee4bda6a860","Q.7) Which of the following biofertilizers is not used in nonlegume crops?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","8","8","ARD-2023-Q008","Fisheries and Aquaculture","Aquaculture systems and water quality","ard-aquaculture-systems-and-water-quality-8d07f0a7","46df77e9-63c5-47ca-9cc5-772c11c56b98","Q.8) What should be the optimum range of Dissolved Oxygen for fish to grow?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","9","9","ARD-2023-Q009","Soil Science, Water and Agro-meteorology","Irrigation projects and command area classification","ard-irrigation-projects-and-command-area-classification-657dc57b","95777e42-3a55-4c18-8fd6-d79aa15db1bc","Q.9) Which of the following Irrigation projects have a Culturable Command Area of 2000 to 10,000 ha area?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","10","10","ARD-2023-Q010","Animal Husbandry, Dairy and Poultry","Livestock terminology and management practices","ard-livestock-terminology-and-management-practices-8ac22bac","856ec76c-fc1f-48bb-bebb-cf5333d46920","Q.10) What is the term used for doing the castrated female pig?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","11","11","ARD-2023-Q011","Agricultural Economics, Credit and Marketing","Farm management and cost accounting","ard-farm-management-and-cost-accounting-315421ce","091d865d-d059-4dea-844a-b84a18ca8b32","Q.11) Which of the following is the operational cost of a Tractor?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","12","12","ARD-2023-Q012","Agricultural Engineering, Mechanisation and Extension","Extension teaching methods","ard-extension-teaching-methods-d65b9d96","1898d86d-6971-4d02-897d-ad2a9a92701f","Q.12) Which of the following extension teaching methods shows a group of farmers how something is done step by step for "
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","13","13","ARD-2023-Q013","Animal Husbandry, Dairy and Poultry","Cattle breeds","ard-cattle-breeds-c6fbb93e","22451541-2f03-4b7c-b929-7c41c4370bfd","Q.13) Which of the following is a milch and drought-purpose cattle breed that originated from Nashik and Ahmednagar of M"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","14","14","ARD-2023-Q014","Animal Husbandry, Dairy and Poultry","Poultry production and management","ard-poultry-production-and-management-23203b34","ac6cd0bf-fb42-4146-b5ef-354d58a9c670","Q.14) What is the term for a chicken with tender meat that weighs between 1.5 to 2 kilograms?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","15","15","ARD-2023-Q015","Animal Husbandry, Dairy and Poultry","Poultry production and management","ard-poultry-production-and-management-23203b34","4d1ac1f6-6fae-4865-9dbf-86848233e1ab","Q.15) What is the period during which layers in poultry are economical?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","16","16","ARD-2023-Q016","Agronomy and Crop Production","Seed production, classes and certification","ard-seed-production-classes-and-certification-3edec708","b61d155f-34bd-493e-9625-f555b231f4fe","Q.16) What is the tag colour for certified seed?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","17","17","ARD-2023-Q017","Soil Science, Water and Agro-meteorology","Soil chemical properties and salinity","ard-soil-chemical-properties-and-salinity-003f2da2","f7b617f1-30e9-4347-ad65-5d080aca3c4f","Q.17) Salt concentration in soil is measured by electrical conductivity. What is the S.I. unit of EC?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","18","18","ARD-2023-Q018","Forestry and Agroforestry","Forest tree species and taxonomy","ard-forest-tree-species-and-taxonomy-4809d8c6","73b50064-1866-4569-a5f6-d9560f93785d","Q.18) Acacia catechu belong to which of the following family?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","19","19","ARD-2023-Q019","Agronomy and Crop Production","Rainfed and dryland farming","ard-rainfed-and-dryland-farming-774ca52a","dfdbd9eb-a37b-49bc-87a6-ba46180a9e7c","Q.19) Which type of agriculture receives the rainfall between 750- 1150mm?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","20","20","ARD-2023-Q020","Agronomy and Crop Production","Field crops: characteristics and composition","ard-field-crops-characteristics-and-composition-0ee2fe15","5aee064a-4372-410b-a3ca-7bcc4a227ad2","Q.20) Groundnuts have ___ protein and ____ oil content."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","21","21","ARD-2023-Q021","Animal Husbandry, Dairy and Poultry","Livestock terminology and management practices","ard-livestock-terminology-and-management-practices-8ac22bac","c117b4d8-e9ef-44c4-a59e-bc62fd38c927","Q.21) What is the term used when young ones are separated before giving a chance for mothers to nurture them?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","22","22","ARD-2023-Q022","Agronomy and Crop Production","Cropping systems and cropping patterns","ard-cropping-systems-and-cropping-patterns-97da95cc","74aee040-27fd-46ed-b514-5902bfbe712d","Q.22) Which of the following involves raising morphologically and physiologically different crops that complement each o"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","23","23","ARD-2023-Q023","Soil Science, Water and Agro-meteorology","Rocks, minerals and soil formation","ard-rocks-minerals-and-soil-formation-efcf3281","7ad4a692-652e-411d-906c-2d62652c8b41","Q.23) Which rock is formed from the weathering of other rocks?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","24","24","ARD-2023-Q024","Horticulture and Plantation Crops","Training and pruning","ard-training-and-pruning-003a99a3","e9ffca75-067e-4343-b915-ebcdd50bcbce","Q.24) Which among the following is the objective of pruning?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","25","25","ARD-2023-Q025","Agricultural Engineering, Mechanisation and Extension","Farm power and rural electrification","ard-farm-power-and-rural-electrification-27dbf73c","709f558c-ce36-4df4-a404-cdb3edb75723","Q.25) Which instrument is used to change voltage without changing frequency?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","26","26","ARD-2023-Q026","Forestry and Agroforestry","Forest regeneration and nursery practice","ard-forest-regeneration-and-nursery-practice-9a601f5b","60713784-933c-462f-ac84-8e32c115e2b5","Q.26) Which of the following is correct regarding seed propagation in Forest Management?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","27","27","ARD-2023-Q027","Agricultural Economics, Credit and Marketing","Priority sector lending and RIDF","ard-priority-sector-lending-and-ridf-f05ce94f","b5212ab9-20ab-4fb5-9b99-281a3e603f41","Q.27) What is the RBI lending target for small marginal farmers?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","28","28","ARD-2023-Q028","Agricultural Economics, Credit and Marketing","Crop insurance and yield thresholds","ard-crop-insurance-and-yield-thresholds-f90cc0f1","a1fd8fe3-a280-41d1-8919-bc207d93e99a","Q.28) The threshold yield for a crop in a notified insurance unit is the average yield of the past seven years (excludin"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","29","29","ARD-2023-Q029","Soil Science, Water and Agro-meteorology","Rocks, minerals and soil formation","ard-rocks-minerals-and-soil-formation-efcf3281","1e733219-314d-46be-8899-455b30e4c955","Q.29) In which of the following chemical weathering processes water molecule is being added to the chemical structure of"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","30","30","ARD-2023-Q030","Agricultural Engineering, Mechanisation and Extension","Post-harvest storage, grading and losses","ard-post-harvest-storage-grading-and-losses-cb1ee86d","463d180b-c463-4a4e-ba24-b4a9bcb5b684","Q.30) Which of the following is the process of assessing and sorting different classes or standards of fruit based on si"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","31","31","ARD-2023-Q031","Rural Development, Schemes and Institutions","Food security and the public distribution system","ard-food-security-and-the-public-distribution-system-da810701","c272dc85-abf3-4174-8b1d-521d0ebbc09a","Q.31) Under which of the following schemes the government has announced the distribution of free grain?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","32","32","ARD-2023-Q032","Rural Development, Schemes and Institutions","MGNREGA","ard-mgnrega-e34273e0","1306b573-9195-498c-8021-b708fb729b41","Q.32) The Central government provides additional ______ of work in drought-hit areas under the MGNREGA scheme to provide"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","33","33","ARD-2023-Q033","Rural Development, Schemes and Institutions","Self-help groups and DAY-NRLM","ard-self-help-groups-and-day-nrlm-e87b9d68","7fbfde77-a518-46f9-89ec-f72e8a34b944","Q.33) DAY-NRLM has a provision for interest subvention, to cover the difference between the Lending Rate of the banks an"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","34","34","ARD-2023-Q034","Rural Development, Schemes and Institutions","Sanitation and drinking water missions","ard-sanitation-and-drinking-water-missions-1e7dd5d7","9a5e2391-b34e-4eaf-ae57-57819765e85d","Q.34) Under Jal Jeevan Mission (Rural) the mission is to provide ________ of water per person per day to every rural hou"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","35","35","ARD-2023-Q035","Rural Development, Schemes and Institutions","Sanitation and drinking water missions","ard-sanitation-and-drinking-water-missions-1e7dd5d7","95198528-8198-4433-8f6a-caf4f8c7a66a","Q.35) SBM(G) Phase-II will be implemented from 2020-21 to _______ in a mission mode."
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","36","36","ARD-2023-Q036","Soil Science, Water and Agro-meteorology","Climate change and emission reports","ard-climate-change-and-emission-reports-e3123cf2","b54ea5ea-c507-401c-be12-b883a359d213","Q.36) Which of the following greenhouse is released in Volcanic eruption, Animal respiration, and anthropologic activiti"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","37","37","ARD-2023-Q037","Agricultural Economics, Credit and Marketing","e-NAM and agricultural marketing platforms","ard-e-nam-and-agricultural-marketing-platforms-3c1c5ff6","a57b121e-8f08-4adc-a90a-c5c388f13b74","Q.37) Which of the following is a pan-India electronic trading portal that networks the existing APMC mandis to create a"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","38","38","ARD-2023-Q038","Agricultural Economics, Credit and Marketing","Kisan Credit Card and agricultural credit targets","ard-kisan-credit-card-and-agricultural-credit-targets-1b663009","8efc6ad6-e658-43ba-9a7c-5bd365c8cb70","Q.38) Credit target for agriculture and allied sector has been announced to be increased to ______ crore with a focus on"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","39","39","ARD-2023-Q039","Soil Science, Water and Agro-meteorology","Soil moisture conservation practices","ard-soil-moisture-conservation-practices-bbf02983","9ade5709-29e8-4e04-abc5-1359bf9fb7ff","Q.39) In which of the following ridges are crossed by earth bands within the furrow or ties constructed to enhance soil "
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2023","1","40","40","ARD-2023-Q040","Soil Science, Water and Agro-meteorology","Irrigation methods","ard-irrigation-methods-d3bd948d","5ffa3c56-1976-47fc-bd61-fa2f129f88df","Q.40) Which of the following is the correct statement regarding drip irrigation?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P2-ARD-2020","2","1","1","ARD-2020-Q001","Agronomy and Crop Production","Organic and natural farming","ard-organic-and-natural-farming-dd64ed70","f7f428aa-ebf8-4af7-b9bf-12cfbb57be85","Q.1) Based on the statements mentioned below find the type of farming system? Statement I – Use of less herbicides State"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P2-ARD-2020","2","2","2","ARD-2020-Q002","Horticulture and Plantation Crops","Mushroom cultivation","ard-mushroom-cultivation-cc6618ae","d94043e9-7378-4df9-b04a-0040948ee376","Q.2) What is the kind of mushroom that ages well and forms gills and wrinkled umbrella?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P2-ARD-2020","2","3","3","ARD-2020-Q003","Agricultural Economics, Credit and Marketing","Agricultural revolutions","ard-agricultural-revolutions-f75a3ef4","e691e15f-1050-456a-8c02-81a653e1448b","Q.3) Blue revolution is related to?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P2-ARD-2020","2","4","4","ARD-2020-Q004","Animal Husbandry, Dairy and Poultry","Dairy physiology and milk production","ard-dairy-physiology-and-milk-production-67b5201e","387f4613-3055-4110-892f-02786bd03782","Q.4) What is the first milk produced by animals which is highly nutritious?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P2-ARD-2020","2","5","5","ARD-2020-Q005","Agricultural Engineering, Mechanisation and Extension","Farm implements and mechanisation","ard-farm-implements-and-mechanisation-635cd7ec","94a4413a-cbe5-4b31-abc0-cc4f512c5310","Q.5) Which of the following tillage implements perform harrowing action with rotating with stell discs"
