year,question_number,question_id,classification,reason,suggested_subject
2025,76,160fbfab-367a-48c8-a5bf-7c2233001177,DURABLE,Author of a named novel,
2025,77,e336a437-36d8-4600-a35f-b38f44d4436b,DURABLE,Authorised capital of IIFCL,banking
2025,78,ea5cbcc8-b3b5-4731-aae2-21b6837d81cf,PERISHABLE,Guinness record for insurance policies sold in 24 hours,
2025,79,4134fd56-569d-48c1-b72e-c5a2b126cd4d,DURABLE,Effective date of mandatory CSR provisions under the Companies Act 2013,economics
2025,80,e7dae8e3-af8f-461e-b9db-6259a422c869,DURABLE,Sites on the UNESCO World Heritage List,
2026,1,04ffc54a-812b-4c61-b25c-1f908ede131f,DURABLE,Defining significance of the Digital Public Infrastructure model,banking
2026,2,2f2031eb-b068-4189-9c44-8520a689b3e9,PERISHABLE,OPEC membership as of a stated month,
2026,3,ef3abb4d-658b-48b1-af7e-d8f6b0bfd75d,DURABLE,Counterparty to the CEPA signed in December 2025,economics
2026,4,de1fe05f-4db9-4e7d-b736-bc661891ccd3,PERISHABLE,City where a civilian honour was conferred,
2026,5,6b0f11cc-917a-4b79-a528-d7d31821cf55,PERISHABLE,Observance date of GST Day,
2026,6,9d688c8e-f58d-4519-9d70-63bbf51e5eb6,PERISHABLE,Observance date of the International Day of Yoga,
2026,7,2022e57d-54e8-48b3-a1ca-9a6ae593ef20,PERISHABLE,Cricketer who became co-owner of a franchise,
2026,8,91a65ba0-669c-4fbe-a590-bbb544b1b0ac,DURABLE,Personality memorialised at Vijay Ghat,
2026,9,b1b9849f-bd96-4cc0-a1ec-47a8ba1c769a,DURABLE,Meaning of the term Brexit,
2026,10,4a0e3cc6-8e0b-42ea-a182-4b0a4761a47f,DURABLE,Selection process for the Padma Awards,
2026,11,567adce5-89df-4dc8-8e92-f2716b321b54,DURABLE,Membership of the Commonwealth of Nations,
2026,12,d5975b37-c0aa-4532-9030-178ce9bc6a3e,DURABLE,Departments under the Ministry of Agriculture and Farmers Welfare,
2026,13,e0785b24-5a22-4270-903f-29bf8ca8ce88,DURABLE,Meaning of the Frozen Series in post-Independence Indian coinage,banking
2026,14,db8e599f-e6a6-4020-85db-ce46a0258cf9,PERISHABLE,Location of a newly launched Indian Railways centre,
2026,15,74e8eb73-feda-431e-ae1e-d817ecc2f3bc,DURABLE,"Statutory roles of SIDBI, EXIM Bank and PFRDA",banking
2026,16,df98d6c3-307d-42d2-9d88-9fc3cba2b14f,PERISHABLE,Identity of an AI e-commerce chatbot; product,
2026,17,29e05594-470e-4f38-87df-2db9ad5bf3b8,DURABLE,Strategic pillars of the RBI Utkarsh 2029 framework,banking
2026,18,16ebb855-d630-4b16-aa86-160abcbb225f,DURABLE,Statements on the Mughal Empire; fixed history,
2026,19,f3891a94-4292-4271-8cd8-098f2d7c9347,PERISHABLE,Host of a dated ICC tournament,
2026,20,c6f4a179-832d-4d00-8e21-d3851ae27ee5,PERISHABLE,Design statements about the forthcoming Census 2027,
2026,21,687061dd-0502-4743-90c1-808b215ebbbe,DURABLE,Ancient Indian text on polity and statecraft,
2026,22,fba8b074-a1ac-4ac1-ac0b-ae4423d6e9b0,PERISHABLE,Bank that won a dated SHG-Bank Linkage award,
2026,23,435e6157-3134-451d-a3b0-d7e169ea32a4,PERISHABLE,State for a proposed underwater tunnel; project not fixed,
2026,24,731f7ea2-af59-4434-963c-ec99b77bf40e,DURABLE,IUCN Red List category of a named species,
2026,25,96983e4c-9443-438f-ba1d-4a9622cb33a7,DURABLE,Statue located on the bank of the Narmada,
2026,26,e31db937-4117-4543-944a-0ffa11ad37c6,DURABLE,Popular nickname of the National Security Guard,
2026,27,81ef43fd-1890-405f-9ce2-48ecb8b555ec,DURABLE,Character length of a DIGIPIN,
2026,28,a7cd2a57-d363-4ead-ba0b-5290d0ceb402,PERISHABLE,Payments bank whose licence was cancelled in a stated month,
2026,29,d05258b3-b61d-47be-b1c6-752e578da1ca,DURABLE,Minimum transaction amount for RTGS,banking
2026,30,fd588fbf-d6de-4553-809b-0941ae676f05,DURABLE,Author of a named biography,
2026,31,50a601b2-a5b1-4d35-972c-b57d1937cd63,PERISHABLE,Bharat Ratna recipients,
2026,32,0a1a3638-6d31-46b8-b17d-2fa4af6dcdbd,DURABLE,Country where the QR code originated,
2026,33,be6cee63-52ce-4af0-a166-65ee63ac9904,DURABLE,Location of a diamond mine in India,
2026,34,799413a5-0a2a-4717-a6c4-b34dde156250,DURABLE,Locations of Government of India currency note printing presses,banking
2026,35,e632c832-0d26-4c61-bb8c-abbde570ac90,DURABLE,Authority that introduced IMPS,banking
2026,36,c3a497a7-9821-4a3b-99c5-11961fefda9c,DURABLE,International group in which India holds permanent membership,
2026,37,d55a8109-c3ce-4e08-8800-2ba9574fed77,PERISHABLE,Bank that signed a dated MoU with GeM,
2026,38,9d3bf2a4-fd78-4666-8562-3117423f24c7,DURABLE,IMF definition of geo-economic fragmentation,economics
2026,39,978308d3-3020-45b1-bee7-e05d9a8237ab,PERISHABLE,Framed on the result of a dated chess tournament,
2026,40,7b6e13e8-ac4c-444c-b3b6-b10f0094aa31,PERISHABLE,State for an underwater museum still under development,
2026,41,9f00a91a-b5cd-4d75-b20f-1c91b2e71336,DURABLE,Name of the RBI-issued digital currency,banking
2026,42,6c929b39-df7d-40a7-9df7-d26ae33bc1bd,DURABLE,Indian fort wall ranked after the Great Wall of China,
2026,43,977fc7d2-9209-41a9-b086-aa58f10c4ae9,DURABLE,Geographical statements on the Aravalli Range,
2026,44,b51c3c4e-a34c-49f9-a14c-e66bb964a02d,DURABLE,Form replaced by Form 130 as the TDS certificate for salaries,economics
2026,45,2e6d4e64-95cf-44de-8875-01b25c1f48ba,DURABLE,Scheme providing all-weather rural road connectivity,
2026,46,68e42cf5-bdc0-44dc-b55e-0b32cccf5dc6,PERISHABLE,Chairman of the 16th Finance Commission; appointment,
2026,47,b8b7b526-5f4a-4e6c-a745-c7278d4d8b9c,DURABLE,Currency in which World Bank Atlas GNI per capita is expressed,economics
2026,48,3bc9fd7d-5859-43f1-9dcd-5851b548e7f9,PERISHABLE,Holder of a numbered Chief of Naval Staff appointment,
2026,49,4fe8bf7a-616d-4429-98ff-24bfa1d9ac7f,PERISHABLE,Consortium in a dated franchise acquisition,
2026,50,cbaa3783-ccfe-4e0b-a8b3-204aad07c090,DURABLE,Country in which Chabahar Port is located,
2026,51,b6154be5-0c97-4d1b-9085-61db1b0ff915,DURABLE,Benchmark index of the National Stock Exchange,capital-market
2026,52,589f35cb-b76f-42b3-9703-2da6982a1ab4,DURABLE,Components of India's foreign exchange reserves,banking
2026,53,b15cae37-0c87-4b04-a5fc-b7a382470347,PERISHABLE,Union Territory holding a Guinness record,
2026,54,86002779-8904-4179-8b03-6ba2d7001140,DURABLE,Rivers on which named dams are built,
2026,55,b30bbf95-5f03-42dd-9f17-ea9dd47c0b55,PERISHABLE,Bank that received a dated PFRDA award,
2026,56,7105ad1e-b88f-4afa-b261-7a33a4eb90bc,DURABLE,Sector addressed by the RBI Mission SAKSHAM initiative,banking
2026,57,7802b29f-d1c9-4981-a09f-a339deaa043f,DURABLE,JANANI acronym expansion,
2026,58,922d1947-2b01-4243-83aa-789c7ba407c9,DURABLE,Leader who was both Congress President and President of India,
2026,59,91675498-0569-496e-8d80-11c891abf42b,PERISHABLE,Park where a tagged turtle was released; dated event,
2026,60,928c8863-88b8-4b61-91f4-32d682e5b755,PERISHABLE,Host of an inaugural cricket tournament,
2026,61,4ac4735e-ef03-4ce1-8b15-565c201734d3,DURABLE,RBI portal for digital submission of regulatory applications,banking
2026,62,dd38a08c-5445-49ca-bbdb-d5fd4185aec5,DURABLE,Currency-country pairings,
2026,63,c02fea59-8401-4fb7-b276-a448bde38fa8,PERISHABLE,Top rank in a dated World Press Freedom Index,
2026,64,44a29ded-7bfb-43d7-949b-c1fc34797e05,PERISHABLE,Bank announcing a dated regional investment programme,
2026,65,d435def6-8729-4739-9750-91403668a092,DURABLE,Biodiversity hotspots located in India,
2026,66,94ce286e-c5cb-447f-bc2f-65c818c4becc,DURABLE,UPI variant permitting offline low-value payments,banking
2026,67,c26a338e-8567-4748-becf-9d81c59255b4,PERISHABLE,Commodity under an export restriction extended to a stated date,
2026,68,54dd9e3e-17f2-4d72-9939-b53c93cb873e,PERISHABLE,Winner of a dated literary prize,
2026,69,7ecdb3f0-003c-4c2e-9d80-1ece9f65d7eb,PERISHABLE,Fintech granted an NBFC licence in a stated month,
2026,70,02a9bdaa-c40f-4977-876d-ed4f107251ee,DURABLE,Country lying along the Pacific rim,
2026,71,acbee2a8-8961-4ffb-a443-22eeb4dc2f4b,DURABLE,Identification of a Fundamental Right,
2026,72,db183f8d-748a-4340-ad0e-5a44a026bf1a,DURABLE,Supreme Court initiative integrating judicial case data,
2026,73,1801d1c0-7922-4a17-adb6-374031799f1d,DURABLE,Membership of the State Level Bankers' Committee,banking
2026,74,4e6985ab-cded-482f-b6c6-9969afc31733,DURABLE,Country to which CTBC Bank belongs,banking
2026,75,41ffa638-a718-46e0-8c78-10588af603ac,DURABLE,Pioneers matched with India's major revolutions,
2026,76,3b5103c4-e6d0-452c-9366-d7d58a3b779a,PERISHABLE,Bank credit growth for SCBs at a stated date,
2026,77,b2e9bac9-ffee-4db3-b5cb-0737ec403527,DURABLE,Body that released a named urban governance report,
2026,78,d96cfb79-19ef-49de-93be-1538fcddb0d9,PERISHABLE,Top company in a dated unlisted-company list,
2026,79,150337ff-ae50-44a6-aabc-fc772b95a9d7,DURABLE,Minimum annual contribution to a PPF account,banking
2026,80,46a64e8c-60c2-4cc2-9c66-c22985622365,PERISHABLE,Renewable capacity milestone tied to a stated date,
